CALENDAR_YEAR,COUNTY,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,
2015,Albany,"UNIFIED COURT BUDGET COSTS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,391461.86,
2015,Albany,"UNIFIED COURT BUDGET COSTS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,1888827.21,
2015,Albany,"DISTRICT ATTORNEY, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,4386806.75,
2015,Albany,"DISTRICT ATTORNEY,EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,43275.4,
2015,Albany,"DISTRICT ATTORNEY,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,925580.75,
2015,Albany,"PUBLIC DEFENDER,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,3011818.03,
2015,Albany,"PUBLIC DEFENDER,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,1388759.74,
2015,Albany,"MED EXAMINERS & CORONERS,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,135572.62,
2015,Albany,"MED EXAMINERS & CORONERS,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,479561.89,
2015,Albany,TREASURER FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,44209.93,
2015,Albany,"MUNICIPAL EXEC, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,884024.6,
2015,Albany,"MUNICIPAL EXEC, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,325.8,
2015,Albany,"MUNICIPAL EXEC, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,103087.45,
2015,Albany,TAX COLLECTOR FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,9417.81,
2015,Albany,CHARGES FOR TAX REDEMPTION,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,53261.01,
2015,Albany,COMPTROLLER FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,26670,
2015,Albany,CLERK FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,3006289.21,
2015,Albany,OTHER GENERAL DEPARTMENTAL INCOME,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,11275357.68,
2015,Albany,"DIR OF FINANCE, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,826272.81,
2015,Albany,"DIR OF FINANCE, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,1070.91,
2015,Albany,"DIR OF FINANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,337863.83,
2015,Albany,"COMPTROLLER,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,1078492.15,
2015,Albany,"COMPTROLLER, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,352957.57,
2015,Albany,"BUDGET, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,259887.89,
2015,Albany,"BUDGET, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,62243.22,
2015,Albany,"PURCHASING, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,316571.88,
2015,Albany,"PURCHASING, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,32520.72,
2015,Albany,"ASSESSMENT, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,315903.69,
2015,Albany,"ASSESSMENT, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,27607.29,
2015,Albany,"EXP ON PROP ACQ FOR TAXES, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,369351.36,
2015,Albany,"CLERK,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,1128253.14,
2015,Albany,"CLERK,EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,44413.94,
2015,Albany,"CLERK,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,296141,
2015,Albany,"LAW, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,1906656.83,
2015,Albany,"LAW, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,5120.13,
2015,Albany,"LAW, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,352373.46,
2015,Albany,"PERSONNEL, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,1145797.06,
2015,Albany,"PERSONNEL, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,306939.14,
2015,Albany,"ENGINEER, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,290240.75,
2015,Albany,"ENGINEER, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,11570.99,
2015,Albany,"ELECTIONS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,1119793.59,
2015,Albany,"ELECTIONS, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,88170.57,
2015,Albany,"ELECTIONS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,1204854.2,
2015,Albany,SHERIFF FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,769537.76,
2015,Albany,ALTERN TO INCARCERATION FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,106575.58,
2015,Albany,POLICE FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,583137.57,
2015,Albany,RESTITUTION SURCHARGE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,188994.18,
2015,Albany,OTHER PUBLIC SAFETY DEPARTMENTAL INCOME,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,PUBLIC SAFETY FEES,,300344.72,
2015,Albany,PUBLIC HEALTH FEES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,1164614.95,
2015,Albany,CHARGES FOR CARE OF HANDI CHILDREN,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,748359.72,
2015,Albany,"CENTRAL SERVICES ADMIN,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,304987.67,
2015,Albany,"CENTRAL SERVICES ADMIN,EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,10738.68,
2015,Albany,"CENTRAL SERVICES ADMIN,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,632076.42,
2015,Albany,"BUILDINGS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,2145465.75,
2015,Albany,"BUILDINGS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,1151472.61,
2015,Albany,EARLY INTERVEN FEES FOR SERV,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,92127.06,
2015,Albany,MENTAL HEALTH CONTRI FROM PRIVATE AGENCY,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,HEALTH FEES,,2529345.23,
2015,Albany,"CENTRAL GARAGE, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,70482.32,
2015,Albany,"CENTRAL GARAGE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,90627.23,
2015,Albany,"CENTRAL STOREROOM, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,192952.48,
2015,Albany,"CENTRAL STOREROOM, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,76248.63,
2015,Albany,"PUBLIC RECORDS,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,606762.48,
2015,Albany,"PUBLIC RECORDS,EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,2687.27,
2015,Albany,"PUBLIC RECORDS,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,196456.48,
2015,Albany,"CENTRAL PRINT & MAIL, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,159362.01,
2015,Albany,"CENTRAL PRINT & MAIL,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,70399.28,
2015,Albany,"CENTRAL DATA PROCESS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Personal Services,1573101.84,
2015,Albany,CENTRAL DATA PROCESS & CAP OUTLAY,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Equipment and Capital Outlay,283884.11,
2015,Albany,"CENTRAL DATA PROCESS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,1171780.15,
2015,Albany,PARKING LOTS AND GARAGES-NO TAX,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,TRANSPORTATION FEES,,1298853.04,
2015,Albany,OTHER TRANSPORTATION DEPARTMENTAL INCOME,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,TRANSPORTATION FEES,,35447.25,
2015,Albany,REPAY OF MEDICAL ASSISTANCE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,350388.29,
2015,Albany,REPAYMENT OF FAMILY ASSISTANCE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,771528.97,
2015,Albany,MEDICAL INCENTIVE EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,160671.31,
2015,Albany,REPAYMENT OF CHILD CARE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,331665.22,
2015,Albany,REPAYMENT OF SAFETY NET ASSISTANCE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,1236855.12,
2015,Albany,REPAYMENT OF EMERGENCY CARE FOR ADULTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,3474.91,
2015,Albany,REPAYMENTS OF SERVICES FOR RECIPIENTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,1625729.57,
2015,Albany,SOCIAL SERVICES CHARGES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,SOCIAL SERVICES FEES,,597825.75,
2015,Albany,"UNALLOCATED INSURANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,810989.08,
2015,Albany,"JUDGEMENTS AND CLAIMS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,JUDGEMENTS,Contractual,1825563.2,
2015,Albany,SEALER OF WEIGHTS & MEASURES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,COMMUNITY SERVICES FEES,,472468,
2015,Albany,CHARGES-PROGRAMS FOR THE AGING,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,COMMUNITY SERVICES FEES,,257,
2015,Albany,DISTRIBUTION OF SALES TAX,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,COUNTY DISTRIBUTION OF SALES TAX,Contractual,102688084.8,
2015,Albany,"OTHER GEN GOVT SUPPORT, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,OPERATIONS,Contractual,777000,
2015,Albany,CASH,BALANCE SHEET,CURRENT ASSETS,,,,260561.32,
2015,Albany,CASH IN TIME DEPOSITS,BALANCE SHEET,CURRENT ASSETS,,,,41724023.52,
2015,Albany,SPECIAL RECREATIONAL FACILITY CHARGES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,CULTURE AND RECREATION FEES,,332448.58,
2015,Albany,PETTY CASH,BALANCE SHEET,CURRENT ASSETS,,,,9850,
2015,Albany,CASH FOR TAX ANTICIPATION NOTES,BALANCE SHEET,CURRENT ASSETS,,,,215.11,
2015,Albany,ELECTION SERVICE CHARGES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,GENERAL GOVERNMENT CHARGES,,513318.15,
2015,Albany,PUBLIC SAFETY SERVICES FOR OTHER GOVTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,PUBLIC SAFETY CHARGES,,2196540.67,
2015,Albany,FIRE PROTECTION SERVICES OTHER GOVTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,PUBLIC SAFETY CHARGES,,1665250.49,
2015,Albany,"JAIL FACILITIES SERVICES, OTHER GOVTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,PUBLIC SAFETY CHARGES,,3999666.99,
2015,Albany,"CASH IN TIME DEPOSITS, SPEC RES",BALANCE SHEET,CURRENT ASSETS,,,,150135.63,
2015,Albany,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,114555.57,
2015,Albany,RENTAL OF REAL PROPERTY,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,RENTAL OF PROPERTY,,995465.16,
2015,Albany,"RENTAL OF REAL PROPERTY, OTHER GOVTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,RENTAL OF PROPERTY,,441882.28,
2015,Albany,RENTAL OF EQUIPMENT,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,RENTAL OF PROPERTY,,187031,
2015,Albany,COMMISSIONS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,359682.94,
2015,Albany,"COMMUNITY COLLEGE TUITION,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EDUCATION,COMMUNITY COLLEGE,Contractual,10410540.58,
2015,Albany,"TAXES RECEIVABLE, OVERDUE",BALANCE SHEET,CURRENT ASSETS,,,,54081255.79,
2015,Albany,FINES AND FORFEITED BAIL,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,FINES,,3669.61,
2015,Albany,STOP-DWI FINES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,FINES,,710647.17,
2015,Albany,SALES OF SCRAP & EXCESS MATERIALS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,739.81,
2015,Albany,SALES OF EQUIPMENT,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,2140.9,
2015,Albany,OTHER COMPENSATION FOR LOSS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,COMPENSATION FOR LOSS,,4026562.58,
2015,Albany,TAXES RECEIVABLE ON STATE LANDS,BALANCE SHEET,CURRENT ASSETS,,,,5550.6,
2015,Albany,REFUNDS OF PRIOR YEAR'S EXPENDITURES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,2935245.53,
2015,Albany,OTB-DISTRIBUTED EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS GRANTS FROM LOCAL GOVERNMENTS,,631537,
2015,Albany,UNCLASSIFIED (SPECIFY),STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,265747.41,
2015,Albany,RETURNED SCHOOL TAXES RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,9540868.9,
2015,Albany,CITY SCHOOL TAXES RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,12825195.7,
2015,Albany,DELINQUENT VILLAGE TAXES REC,BALANCE SHEET,CURRENT ASSETS,,,,686179.22,
2015,Albany,"EDUCATION HANDICAPPED CHILDREN,CONTR EXPEN",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EDUCATION,MISCELLANEOUS EDUCATION,Contractual,14043953.21,
2015,Albany,"ST AID, MORTGAGE TAX",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,MORTGAGE TAX,,3735803.63,
2015,Albany,"PUBLIC SAFETY COMM SYS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,PUBLIC SAFETY ADMINISTRATION,Personal Services,1848048.71,
2015,Albany,"PUBLIC SAFETY COMM SYS, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,PUBLIC SAFETY ADMINISTRATION,Equipment and Capital Outlay,92633.88,
2015,Albany,"PUBLIC SAFETY COMM SYS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,PUBLIC SAFETY ADMINISTRATION,Contractual,891880.47,
2015,Albany,STATE AID COURT FACILITIES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - GENERAL GOVERNMENT,,660670,
2015,Albany,"STATE AID, INDIGENT LEGAL SERVICES FUND",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - GENERAL GOVERNMENT,,734844.74,
2015,Albany,"ST AID, DISTRICT ATTORNEY SALARIES",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - GENERAL GOVERNMENT,,78514,
2015,Albany,ST AID - OTHER (SPECIFY),STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,MISCELLANEOUS STATE AID,,72003.79,
2015,Albany,"SHERIFF,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Personal Services,11389522.97,
2015,Albany,"SHERIFF, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Equipment and Capital Outlay,654835.88,
2015,Albany,"SHERIFF, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Contractual,1719774.78,
2015,Albany,"PROBATION, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Personal Services,5344516.11,
2015,Albany,"PROBATION, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Equipment and Capital Outlay,34159.24,
2015,Albany,"PROBATION, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Contractual,841761.49,
2015,Albany,"JAIL, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Personal Services,23184927.14,
2015,Albany,"JAIL, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Equipment and Capital Outlay,220552.96,
2015,Albany,"JAIL, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,CORRECTIONAL SERVICES,Contractual,7285078.91,
2015,Albany,"OTHER TRAFFIC, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Personal Services,166319.45,
2015,Albany,"OTHER TRAFFIC, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Equipment and Capital Outlay,923.99,
